@relation iris

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute class {c1,c2,c3}

@data
0.333333,0.208333,0.508475,0.5,c2
0.333333,0.25,0.576271,0.458333,c2
0.5,0.416667,0.610169,0.541667,c2
0.416667,0.25,0.508475,0.458333,c2
0.194444,0.125,0.389831,0.375,c2
0.361111,0.291667,0.542373,0.5,c2
0.388889,0.416667,0.542373,0.458333,c2
0.388889,0.375,0.542373,0.5,c2
0.527778,0.375,0.559322,0.5,c2
0.222222,0.208333,0.338983,0.416667,c2
0.388889,0.333333,0.525424,0.5,c2
0.555556,0.541667,0.847458,1,c3
0.416667,0.291667,0.694915,0.75,c3
0.777778,0.416667,0.830508,0.833333,c3
0.555556,0.375,0.779661,0.708333,c3
0.611111,0.416667,0.813559,0.875,c3
0.916667,0.416667,0.949153,0.833333,c3
0.166667,0.208333,0.59322,0.666667,c3
0.833333,0.375,0.898305,0.708333,c3
0.666667,0.208333,0.813559,0.708333,c3
0.805556,0.666667,0.864407,1,c3
0.611111,0.5,0.694915,0.791667,c3
0.583333,0.291667,0.728814,0.75,c3
0.694444,0.416667,0.762712,0.833333,c3
0.388889,0.208333,0.677966,0.791667,c3
0.416667,0.333333,0.694915,0.958333,c3
0.583333,0.5,0.728814,0.916667,c3
0.611111,0.416667,0.762712,0.708333,c3
0.944444,0.75,0.966102,0.875,c3
0.944444,0.25,1,0.916667,c3
0.472222,0.083333,0.677966,0.583333,c3
0.722222,0.5,0.79661,0.916667,c3
0.361111,0.333333,0.661017,0.791667,c3
0.944444,0.333333,0.966102,0.791667,c3
0.555556,0.291667,0.661017,0.708333,c3
0.666667,0.541667,0.79661,0.833333,c3
0.805556,0.5,0.847458,0.708333,c3
0.527778,0.333333,0.644068,0.708333,c3
0.5,0.416667,0.661017,0.708333,c3
0.583333,0.333333,0.779661,0.833333,c3
0.805556,0.416667,0.813559,0.625,c3
0.861111,0.333333,0.864407,0.75,c3
1,0.75,0.915254,0.791667,c3
0.583333,0.333333,0.779661,0.875,c3
0.555556,0.333333,0.694915,0.583333,c3
0.5,0.25,0.779661,0.541667,c3
0.944444,0.416667,0.864407,0.916667,c3
0.555556,0.583333,0.779661,0.958333,c3
0.583333,0.458333,0.762712,0.708333,c3
0.472222,0.416667,0.644068,0.708333,c3
0.722222,0.458333,0.745763,0.833333,c3
0.666667,0.458333,0.779661,0.958333,c3
0.722222,0.458333,0.694915,0.916667,c3
0.416667,0.291667,0.694915,0.75,c3
0.694444,0.5,0.830508,0.916667,c3
0.666667,0.541667,0.79661,1,c3
0.666667,0.416667,0.711864,0.916667,c3
0.555556,0.208333,0.677966,0.75,c3
0.611111,0.416667,0.711864,0.791667,c3
0.527778,0.583333,0.745763,0.916667,c3
0.444444,0.416667,0.694915,0.708333,c3
