@relation planning-relax

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute class {1,2}

@data
0.464536,0.757135,0.576064,0.730497,0.382904,0.797602,0.53547,0.144544,0.661502,0.826382,0.209994,0.741505,1
0.665637,0.23671,0.456284,0.123883,0.845916,0.199768,0.631108,0.498811,0.626302,0.654934,0.433801,0.554219,1
0.621334,0.610375,0.487863,0.475605,0.484997,0.608172,0.634636,0.389677,0.680671,0.740167,0.315105,0.614609,1
0.554604,0.364736,0.294852,0.147471,0.441994,0.42523,0.425077,0.576651,0.798816,0.690462,0.38309,0.426929,2
0.629269,0.058287,0.497994,0.182281,0.902426,0.101698,0.497009,0.70848,0.56603,0.664072,0.433367,0.636612,1
0.67368,0.284039,0.457147,0.378742,0.680555,0.31714,0.584987,0.370147,0.416594,0.491157,0.637295,0.642468,1
0.424204,0.161883,0.399764,0.52586,0.619858,0.246196,0.355696,0.324036,0.403775,0.577081,0.523505,0.767302,1
0.583751,0.484399,0.581492,0.653549,0.63359,0.49946,0.556994,0.604522,0.457262,0.480241,0.634735,0.598524,2
0.731243,0.241952,0.554239,0.36536,0.849054,0.218853,0.756058,0.302871,0.309481,0.609075,0.494052,0.867163,1
0.76936,0.441513,0.447392,0.510645,0.568176,0.404187,0.751905,0.689899,0.619868,0.438516,0.671797,0.396085,1
1,0.538498,0.334704,0.546829,0.356062,0.506737,0.925194,0.501219,0.489262,0.191484,0.958598,0.305065,1
0.620444,0.798753,0.554585,0.789973,0.280137,0.858146,0.623181,0.187389,0.77938,0.680694,0.368346,0.468476,2
0.434683,0.61645,0.602747,0.634251,0.499775,0.706662,0.390034,0.270187,0.769976,0.651462,0.40954,0.453239,1
0.769525,0.582278,0.139659,0.316627,0.092511,0.597004,0.692644,0.478139,0.883043,0.921141,0.122437,0.530642,1
0.592668,0.402708,0.285956,0.329283,0.431208,0.408235,0.54249,0.520887,0.722073,0.717793,0.361526,0.521377,1
0.635319,0.958931,0.602198,0.808446,0.306897,0.934406,0.73599,0.313822,0.725163,0.684929,0.401579,0.441648,2
0.231299,0.73891,0.611946,0.675885,0.444241,0.823952,0.257793,0.15295,0.867671,0.860763,0.189641,0.463862,1
0.603958,0.569629,0.416609,0.37094,0.517913,0.509575,0.655812,0.500156,0.668129,0.48233,0.616167,0.364581,1
0.657382,0.577271,0.324709,0.476507,0.330336,0.54655,0.701237,0.393828,0.784524,0.715428,0.346181,0.445597,1
0.593689,0.437812,0.694704,0.619792,0.815503,0.451522,0.559325,0.558831,0.847072,0.65842,0.415415,0.324605,2
0.713537,0.514682,0.601209,0.47644,0.756587,0.466226,0.727412,0.387236,0.924723,0.701425,0.362662,0.278888,1
0.519637,0.301561,0.401395,0.320252,0.560554,0.384022,0.372203,0.644144,0.629096,0.585927,0.505842,0.531057,1
0.653693,0.458148,0.510648,0.458352,0.55998,0.52646,0.512063,0.552275,0.758767,0.558086,0.528827,0.374681,1
0.558261,0.329338,0.530171,0.392692,0.729465,0.368908,0.447103,0.667212,0.491406,0.371429,0.755111,0.492608,2
0.580208,0.000499,0.190337,0.010202,0.621225,0.063129,0.368069,0.826156,0.390474,0.457107,0.65649,0.710316,1
0.55466,0.549246,0.608045,0.626962,0.557014,0.647836,0.388163,0.668264,0.844013,0.623704,0.461974,0.335851,1
0.683862,0.576762,0.609007,0.747528,0.500897,0.650673,0.516186,0.980629,0.446433,0.207994,0.962895,0.367906,1
0.624534,0.683131,0.541892,0.891283,0.310935,0.769757,0.505737,0.726003,0.444743,0.2934,0.851102,0.487056,2
0.757365,0.839892,0.459662,0.859329,0.014535,0.987264,0.537488,0.746264,0.764696,0.767186,0.319147,0.514825,1
0.835039,0.461113,0.64138,0.578333,0.775983,0.424999,0.852169,0.307175,0.629244,0.582351,0.505215,0.50629,1
0.901315,0.378927,0.550327,0.517339,0.746638,0.329278,0.887273,0.513194,0.497245,0.430959,0.67354,0.550952,1
0.696961,0.186623,0.395104,0.441231,0.671902,0.214911,0.563297,0.68223,0.708838,0.536991,0.546827,0.418658,2
0.674631,0.542852,0.788848,1,0.700862,0.587872,0.704677,0.231093,0.837647,0.768688,0.265396,0.453455,1
0.500768,0.544526,0.273665,0.220442,0.333099,0.561756,0.434892,0.637399,0.541202,0.492924,0.605666,0.554345,1
0.721509,0.6002,0.399042,0.535207,0.436704,0.537394,0.773682,0.493464,0.884558,0.821322,0.216187,0.47023,1
0.876313,0.523721,0.342538,0.533758,0.388319,0.479665,0.841516,0.668526,0.678259,0.606341,0.474665,0.49317,2
0.81704,0.409003,0.200896,0.457028,0.232396,0.447243,0.682818,0.652263,0.674119,0.691265,0.378506,0.600402,1
0.582877,0.790907,0.610215,0.705338,0.440198,0.785108,0.703504,0.069604,0.397021,0.702027,0.372796,0.864595,1
0.50897,0.788962,0.571937,0.620442,0.422717,0.781456,0.629588,0.111929,0.156685,0.605893,0.510067,1,1
0.63205,0.460619,0.280998,0.527305,0.261048,0.527554,0.512859,0.582699,0.710801,0.66044,0.413577,0.50545,2
0.742272,0.536882,0.494389,0.471999,0.553864,0.536563,0.634958,0.780535,0.601502,0.504431,0.621212,0.43747,1
0.421977,0.083091,0.129289,0.069147,0.557422,0.075517,0.384323,0.612073,0.578542,0.5593,0.527255,0.569598,1
0.608383,0.228331,0.439984,0.385409,0.635539,0.310517,0.43937,0.728281,0.599867,0.631641,0.445694,0.608462,1
0.677348,0.368098,0.339102,0.316134,0.54291,0.335081,0.67665,0.515211,0.720798,0.632725,0.438848,0.459828,2
0.61504,0.420919,0.493749,0.544574,0.582947,0.459815,0.512252,0.656978,0.477609,0.446537,0.682489,0.544892,1
0.856077,0.525355,0.524516,0.626322,0.581398,0.485063,0.84132,0.591411,0.850134,0.662824,0.396634,0.364408,1
0.858393,0.341708,0.614221,0.447091,0.883631,0.283304,0.826763,0.684493,0.761365,0.616195,0.456455,0.426387,1
0.759692,0.727508,0.321843,0.423636,0.229071,0.699812,0.760324,0.457311,0.846828,0.767735,0.273804,0.467245,2
0.511715,0.672592,0.150475,0.167529,0.129624,0.652747,0.533274,0.455609,0.958463,0.913254,0.111957,0.45392,1
0.523423,0.417752,0.302487,0.543486,0.318193,0.499197,0.386552,0.670854,0.356532,0.556654,0.572391,0.770541,1
0.627813,0.355404,0.444165,0.417206,0.601401,0.38037,0.557748,0.546998,0.364361,0.475115,0.6518,0.671739,1
0.500603,0.816375,0.614723,0.675372,0.417211,0.849308,0.534519,0.237191,0.7917,0.619264,0.446257,0.373445,2
0.752267,0.660212,0.393645,0.590695,0.205323,0.741034,0.677337,0.14029,0.518902,0.615674,0.469786,0.654796,1
0.44682,0.482875,0.379728,0.591321,0.333864,0.580684,0.369261,0.287937,0.505416,0.528805,0.580549,0.590781,1
0,0.314584,0.456862,0.624343,0.560787,0.4181,0.061109,0.029487,0.483581,0.37318,0.748902,0.453972,1
0.529721,0.272348,0.353976,0.581707,0.419396,0.386449,0.354911,0.759295,0.44065,0.573238,0.54816,0.690345,2
0.121136,0,0.429948,0.266603,0.824219,0.109885,0,0.722514,0.597664,0.646997,0.451743,0.588778,1
0.76442,0.668377,0.443786,0.381717,0.477509,0.623031,0.731958,0.51825,0.788871,0.704335,0.38003,0.407422,1
0.834499,0.40801,0.568114,0.401257,0.789493,0.359921,0.843565,0.274699,0.59721,0.680859,0.40066,0.62495,1
0.575433,0.578348,0.863834,0.635276,0.958276,0.557673,0.587351,0.6352,0.707707,0.763239,0.323916,0.549879,2
0.539287,0.581301,1,0.827731,0.983554,0.649872,0.463248,0.571012,0.770744,0.637462,0.44231,0.429219,1
0.819344,0.673575,0.374676,0.618549,0.245088,0.664422,0.794923,0.626893,0.975797,1,0,0.530061,1
0.902755,0.23657,0.433078,0.35056,0.754839,0.191987,0.862029,0.422336,0.694881,0.701114,0.355221,0.56527,1
0.689555,0.381884,0.531479,0.516487,0.728763,0.348541,0.724644,0.352753,0.813863,0.874278,0.134281,0.644782,2
0.326435,0.557444,0.514496,0.691952,0.470745,0.60206,0.396628,0.173987,0.662831,0.698721,0.354802,0.621356,1
0.707342,1,0.347281,0.574741,0,0.989869,0.725922,0.499456,0,0.334845,0.84261,0.930968,1
0.802808,0.760921,0.297556,0.586737,0.064658,0.805953,0.693734,0.466407,0.389004,0.150668,1,0.399353,1
0.860449,0.157205,0.477721,0.377973,0.850845,0.106228,0.87198,0.299664,0.56184,0.526083,0.58211,0.487529,2
0.397805,0.384752,0.396364,0.394064,0.474294,0.485562,0.307431,0.253187,0.756507,0.689733,0.378209,0.480832,1
0.689434,0.534375,0.740115,0.678215,0.788444,0.527522,0.706318,0.430604,0.418899,0.595414,0.501906,0.734432,1
0.635072,0.380438,0.486854,0.603696,0.590855,0.405345,0.57573,0.64364,0.555931,0.630111,0.465702,0.622472,1
0.641995,0.444122,0.392682,0.260681,0.579684,0.423793,0.613868,0.442049,0.577784,0.647463,0.45109,0.606143,2
0.564246,0.592099,0.516182,0.464667,0.562917,0.577133,0.563248,0.585605,0.727639,0.643918,0.441694,0.457686,1
0.652112,0.374492,0.478875,0.428485,0.575771,0.435284,0.56215,0.45251,0.825202,0.768557,0.270033,0.503736,1
0.661948,0.481238,0.351314,0.305447,0.469909,0.471063,0.625003,0.455139,0.642161,0.548142,0.545553,0.476759,1
0.805925,0.720305,0.659193,0.780953,0.50017,0.718341,0.837627,0.397954,0.550683,0.571986,0.511787,0.603742,2
0.821808,0.206399,0.609206,0.399568,1,0.150654,0.831433,0.308134,0.352725,0.526505,0.589483,0.742396,1
0.707892,0.475708,0.846293,0.877242,0.856269,0.533228,0.624409,0.533692,0.742459,0.805072,0.251226,0.591064,1
0.541669,0.678682,0.38194,0.51226,0.286538,0.704925,0.489106,0.592276,0.883144,0.706424,0.360777,0.354969,1
0.862311,0.47877,0.376663,0.51941,0.337031,0.538038,0.733708,0.514237,0.751741,0.806742,0.236322,0.599986,2
0.728442,0.506285,0.408618,0.538112,0.425057,0.515131,0.671316,0.626996,0.669712,0.610394,0.493798,0.452501,1
0.707892,0.475708,0.846293,0.877242,0.856269,0.533228,0.624409,0.533692,0.742459,0.805072,0.251226,0.591064,1
0.541669,0.678682,0.38194,0.51226,0.286538,0.704925,0.489106,0.592276,0.883144,0.706424,0.360777,0.354969,1
0.862311,0.47877,0.376663,0.51941,0.337031,0.538038,0.733708,0.514237,0.751741,0.806742,0.236322,0.599986,2
0.728442,0.506285,0.408618,0.538112,0.425057,0.515131,0.671316,0.626996,0.669712,0.610394,0.493798,0.452501,1
0.799516,0.438092,0.564045,0.660226,0.581152,0.489218,0.65532,0.751631,0.588895,0.458716,0.64437,0.483471,1
0.907945,0.652721,0.410359,0.558768,0.335255,0.621699,0.918963,0.442484,0.73669,0.718807,0.325754,0.549341,1
0.516628,0.470281,0.288424,0.400826,0.325456,0.519322,0.468427,0.309671,0.554328,0.644507,0.443593,0.638241,2
0.632703,0.720914,0.405328,0.609927,0.216504,0.76062,0.6085,0.436277,0.729486,0.616686,0.456912,0.436862,1
0.779134,0.445234,0.516496,0.782803,0.529245,0.475806,0.691162,0.646106,0.523299,0.664276,0.421033,0.724451,1
0.670606,0.321672,0.513695,0.704214,0.612471,0.360447,0.609618,0.588619,0.645184,0.606852,0.481523,0.506265,1
0.519637,0.3815,0.30073,0.377161,0.363758,0.465729,0.391215,0.539166,0.372434,0.276724,0.862575,0.531019,2
0.601397,0.55008,0.320823,0.524862,0.288381,0.566033,0.580257,0.529513,0.507864,0.325941,0.794935,0.425482,1
0.911448,0.737822,0.564851,0.52239,0.503224,0.705987,0.872493,0.457818,0.639758,0.703068,0.370778,0.61414,1
0.613896,0.676323,0.535365,0.696683,0.419045,0.693145,0.58547,0.680989,0.733726,0.650514,0.433764,0.446172,1
0.76592,0.493408,0.086513,0.415417,0.041661,0.527167,0.712169,0.275756,0.73132,0.768987,0.278239,0.586162,2
0.913102,0.331837,0.366669,0.548713,0.491406,0.330315,0.846914,0.4768,0.600527,0.533079,0.565656,0.479339,1
0.523957,0.10829,0.481997,0.275434,0.838081,0.158006,0.439913,0.468653,0.490781,0.476056,0.619582,0.603498,1
0.571146,0.434451,0.32178,0.277588,0.490712,0.390921,0.638316,0.403252,0.721926,0.698103,0.360979,0.511852,1
0.660917,0.572936,0.74159,0.825325,0.7215,0.595986,0.621524,0.450845,0.726124,0.468534,0.626763,0.296191,2
0.711777,0.448416,0.632442,0.615493,0.704101,0.481185,0.662524,0.320898,0.517711,0.445646,0.668318,0.488559,1
0.708944,0.866163,0.667357,0.735352,0.423396,0.881195,0.796439,0.436321,0.940095,0.950342,0.193029,0.539618,1
0.67147,0.447972,0.30551,0.375724,0.440184,0.42676,0.644253,0.56608,0.342637,0.577473,0.533129,0.8284,2
0.501117,0.503108,0.537995,0.544285,0.565122,0.552817,0.396266,0.602397,1,0.711527,0.379924,0.111993,1
0.647856,0.502816,0.655841,0.666129,0.698705,0.52644,0.523584,0.73518,0.312173,0,1,0,2
0.674524,0.229059,0.21621,0.598315,0.350691,0.304371,0.448167,0.591495,0.531194,0.60907,0.476513,0.727413,1
0.455866,0.386483,0.588793,1,0.495014,0.515841,0.313591,0.451211,0.394395,0.593972,0.496293,0.927221,2
0.567198,0.499395,0.521855,0.559521,0.54112,0.537151,0.493621,0.590863,0.609589,0.465336,0.595591,0.325256,1
0.770652,0.366766,0.425539,0.400081,0.743798,0.221414,1,0,0.666165,0.749002,0.355136,0.614667,2
0.757754,0.384887,0.362333,0.313367,0.557237,0.366028,0.668484,0.663481,0.769983,0.606975,0.473532,0.294653,1
0.606192,0.690149,0.427514,0.582832,0.305708,0.712437,0.667695,0.383618,0.886608,1,0.141855,0.789708,2
0.706699,0.522868,0.263796,0.298045,0.374221,0.492465,0.740106,0.241169,0.545134,0.465593,0.602957,0.345453,1
0.647856,0.502816,0.655841,0.666129,0.698705,0.52644,0.523584,0.73518,0.312173,0,1,0,2
0.706699,0.522868,0.263796,0.298045,0.374221,0.492465,0.740106,0.241169,0.545134,0.465593,0.602957,0.345453,1
0.46014,0.689411,0.112835,0.284849,0.049646,0.691973,0.529687,0.433999,0.540682,0.559319,0.521706,0.534305,2
0.849568,0.698444,0.502234,0.448956,0.380353,0.753244,0.694134,0.803766,0.824692,0.540063,0.528647,0.132875,1
0.622197,0.44907,0.618504,0.726307,0.621577,0.491927,0.593144,0.368348,0.735255,0.689391,0.401334,0.472022,2
0.849746,0.605935,0.646657,0.461213,0.700611,0.556329,0.914542,0.396294,0.732549,0.75996,0.351296,0.583646,1
0.508621,0.57366,0.33997,0.598534,0.238494,0.658305,0.429261,0.443526,0.685481,0.650602,0.440221,0.505751,2
0.573904,0.37969,0.527117,0.504012,0.681364,0.396054,0.502576,0.417291,0.714537,0.658313,0.422104,0.522363,1
0.82112,0.45887,0.617898,0.414036,0.788218,0.405466,0.85226,0.397727,0.827367,0.723572,0.368091,0.426042,2
0.743439,0.053958,0.461132,0.170494,0.96679,0,0.663919,0.340873,0.769054,0.996191,0.146731,1,1
0.489208,0.639029,0.334107,0.579192,0.144737,0.769724,0.301916,0.723285,0.722006,0.610481,0.470075,0.472698,2
0.412117,0.628211,0.110398,0.38352,0.105583,0.619133,0.42284,0.762082,0.544928,0.623721,0.457759,0.838975,1
0.768922,0.411632,0.494194,0.098885,0.778746,0.343027,0.689891,0.858297,0.616528,0.458175,0.599967,0.334375,2
0.545864,0.240426,0.589667,0.409894,0.825692,0.280134,0.431562,0.378281,0.535919,0.601015,0.4729,0.748936,1
0.795403,0.477998,0.412493,0.495132,0.465837,0.495478,0.669483,0.751058,0.426766,0.523003,0.56112,0.755932,2
