@relation iris-20an-nn

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute class {c1,c2,c3}

@data
0.333333,0.25,0.576271,0.127345,c2
0.194444,0.125,0.389831,0.375,c2
0.777778,0.325238,0.830508,0.833333,c3
0.694444,0.416667,0.762712,0.833333,c3
0.416667,0.333333,0.21441,0.630832,c3
0.640649,0.291667,0.508363,0.708333,c3
0.5,0.416667,0.78802,0.708333,c3
0.776265,0.333333,0.779661,0.833333,c3
0.583333,0.637724,0.649945,0.875,c3
0.944444,0.416667,0.864407,0.916667,c3
0.583333,0.458333,0.60944,0.708333,c3
0.391887,0.416667,0.644068,0.708333,c3
0.416667,0.833333,0.033898,0.548217,c1
0.638889,0.375,0.610169,0.5,c2
0.694444,0.333333,0.644068,0.541667,c2
0.166667,0.416667,0.067797,0.041667,c1
0.305556,0.791667,0.118644,0.120588,c1
0,0.416667,0.016949,0.451141,c1
0.388889,1,0.084746,0.125,c1
0.222222,0.112437,0.118644,0.166667,c1
0.194444,0.266228,0.627682,0.041667,c1
0.25,0.875,0.084746,0,c1
0.194444,0.5,0.033898,0.041667,c1
0.192636,0.625,0.050847,0.041667,c1
0.426477,0.625,0.378215,0.083333,c1
0.722222,0.458333,0.008046,0.583333,c2
0.416667,0.291667,0.525424,0.375,c2
0.527778,0.083333,0.59322,0.583333,c2
0.666667,0.416667,0.677966,0.666667,c2
0.416667,0.291667,0.491525,0.065878,c2
0.57173,0.291667,0.694915,0.625,c2
0.361111,0.291667,0.530193,0.5,c2
0.388889,0.375,0.542373,0.5,c2
0.555556,0.541667,0.019609,1,c3
0.416667,0.043802,0.694915,0.756726,c3
0.583333,0.291667,0.728814,0.60401,c3
0.583333,0.5,0.728814,0.916667,c3
0.944444,0.75,0.966102,0.875,c3
0.316408,0.753199,0.661017,0.791667,c3
0.5,0.25,0.779661,0.541667,c3
0.617749,0.937056,0.694736,0.916667,c3
0.472222,0.547138,0.59322,0.583333,c2
0.472222,0.583333,0.59322,0.625,c2
0.611111,0.416667,0.762712,0.708333,c3
0.54215,0.333333,0.644068,0.112689,c3
0.194444,0.666667,0.912814,0.041667,c1
0.385477,0.583333,0.101695,0.041667,c1
0.305556,0.791667,0.050847,0.125,c1
0.222222,0.625,0.067797,0.083333,c1
0.138889,0.583333,0.152542,0.041667,c1
0.25,0.625,0.084746,0.041667,c1
0.25,0.583333,0.067797,0.041667,c1
0.336987,0.125,0.050847,0.083333,c1
0.222222,0.75,0.152542,0.125,c1
0.5,0.375,0.68909,0.541667,c2
0.361111,0.255435,0.440678,0.5,c2
0.666667,0.458333,0.576271,0.541667,c2
0.781843,0.208333,0.491525,0.759634,c2
0.885533,0.5,0.856665,0.708333,c2
0.305556,0.416667,0.850565,0.583333,c2
0.5,0.416667,0.610169,0.475727,c2
0.416667,0.985786,0.508475,0.831787,c2
0.932346,0.416667,0.542373,0.458333,c2
0.527778,0.144901,0.559322,0.5,c2
0.916667,0.416667,0.949153,0.843031,c3
0.36641,0.208333,0.640026,0.666667,c3
0.666667,0.611326,0.040102,0.708333,c3
0.944444,0.846277,0.966102,0.801911,c3
0.555556,0.583333,0.779661,0.958333,c3
0.722222,0.458333,0.745763,0.833333,c3
0.666667,0.458333,0.779661,0.958333,c3
0.694444,0.266175,0.830508,0.916667,c3
0.666667,0.541667,0.79661,0.727255,c3
0.027778,0.5,0.050847,0.041667,c1
0.472222,0.083333,0.677966,0.583333,c3
0.083333,0.583333,0.067797,0.161271,c1
0.305556,0.892948,0.084746,0.041667,c1
0.388889,0.75,0.118644,0.083333,c1
0.222222,0.924811,0.084746,0.083333,c1
0.166667,0.406374,0.265314,0,c1
0.166667,0.458333,0.241141,0,c1
0.027778,0.416667,0.217769,0.041667,c1
0.222222,0.75,0.101695,0.041667,c1
0.310553,0.333333,0.59322,0.5,c2
0.25,0.291667,0.491525,0.541667,c2
0.194444,0,0.423729,0.375,c2
0.444444,0.416667,0.542373,0.022423,c2
0.333333,0.00202,0.474576,0.416667,c2
0.361111,0.416667,0.525424,0.5,c2
0.333333,0.208333,0.508475,0.5,c2
0.222222,0.208333,0.338983,0.416667,c2
0.818147,0.333333,0.510584,0.5,c2
0.555556,0.375,0.346692,0.708333,c3
0.65847,0.666667,0.864407,1,c3
0.115643,0.208333,0.677966,0.77991,c3
0.805556,0.416667,0.813559,0.625,c3
0.861111,0.333333,0.864407,0.75,c3
1,0.75,0.915254,0.791667,c3
0.416667,0.291667,0.694915,0.627536,c3
0.377431,0.416667,0.711864,0.916667,c3
0.555556,0.021882,0.677966,0.75,c3
0.166667,0.529677,0.084746,0,c1
0.72992,0.625,0.406657,0.792024,c1
0.611111,0.333333,0.610169,0.583333,c2
0.944444,0.25,1,0.130872,c3
